permutation,group,scope,task,ba
31,all,all,0,0.4764457439896036
31,task1,task,1,0.49936215450035437
31,task2,task,2,0.45356196644097735
31,VisualCogA_Task-1,record,1,0.4316860465116279
31,VisualCogA_Task-2,record,2,0.4241588527302813
31,VisualCogB_Task-1,record,1,0.5653377630121816
31,VisualCogB_Task-2,record,2,0.46299871299871304
32,all,all,0,0.4959389213775179
32,task1,task,1,0.4710843373493976
32,task2,task,2,0.5195760965557845
32,VisualCogA_Task-1,record,1,0.4726744186046512
32,VisualCogA_Task-2,record,2,0.4238830667402096
32,VisualCogB_Task-1,record,1,0.46982281284606864
32,VisualCogB_Task-2,record,2,0.6235521235521235
33,all,all,0,0.41195581546458737
33,task1,task,1,0.3343727852586818
33,task2,task,2,0.4889608478068884
33,VisualCogA_Task-1,record,1,0.3404069767441861
33,VisualCogA_Task-2,record,2,0.5154440154440154
33,VisualCogB_Task-1,record,1,0.3283499446290144
33,VisualCogB_Task-2,record,2,0.4575289575289575
34,all,all,0,0.5193307342430149
34,task1,task,1,0.5413890857547838
34,task2,task,2,0.49735060347365323
34,VisualCogA_Task-1,record,1,0.6122093023255815
34,VisualCogA_Task-2,record,2,0.49145063430777713
34,VisualCogB_Task-1,record,1,0.47037652270210406
34,VisualCogB_Task-2,record,2,0.5067567567567568
35,all,all,0,0.5623781676413255
35,task1,task,1,0.530474840538625
35,task2,task,2,0.5939799823373565
35,VisualCogA_Task-1,record,1,0.5075581395348837
35,VisualCogA_Task-2,record,2,0.57280750137893
35,VisualCogB_Task-1,record,1,0.552048726467331
35,VisualCogB_Task-2,record,2,0.621943371943372
36,all,all,0,0.46848602988953864
36,task1,task,1,0.47597448618001414
36,task2,task,2,0.4614365616720636
36,VisualCogA_Task-1,record,1,0.4683139534883721
36,VisualCogA_Task-2,record,2,0.4136789851075565
36,VisualCogB_Task-1,record,1,0.482281284606866
36,VisualCogB_Task-2,record,2,0.5019305019305019
37,all,all,0,0.46832358674463936
37,task1,task,1,0.4520198440822112
37,task2,task,2,0.485722696496909
37,VisualCogA_Task-1,record,1,0.42267441860465116
37,VisualCogA_Task-2,record,2,0.444015444015444
37,VisualCogB_Task-1,record,1,0.4833887043189369
37,VisualCogB_Task-2,record,2,0.5305662805662805
38,all,all,0,0.5032488628979856
38,task1,task,1,0.48171509567682497
38,task2,task,2,0.5248748896084781
38,VisualCogA_Task-1,record,1,0.44244186046511624
38,VisualCogA_Task-2,record,2,0.5799779371207943
38,VisualCogB_Task-1,record,1,0.5174418604651163
38,VisualCogB_Task-2,record,2,0.45592020592020593
39,all,all,0,0.5497076023391814
39,task1,task,1,0.5185683912119065
39,task2,task,2,0.5797762731822196
39,VisualCogA_Task-1,record,1,0.5316860465116279
39,VisualCogA_Task-2,record,2,0.6001103143960287
